Province_State,Quarter,value
Alabama,Q12020,134211
Alabama,Q12021,57703908
Alabama,Q22020,3129177
Alabama,Q22021,50484394
Alabama,Q32020,12924484
Alabama,Q32021,42521970
Alabama,Q42020,16108683
Alaska,Q12020,9211
Alaska,Q12021,7030651
Alaska,Q22020,104346
Alaska,Q22021,6530850
Alaska,Q32020,750607
Alaska,Q32021,5516646
Alaska,Q42020,2011569
American Samoa,Q12020,0
American Samoa,Q12021,0
American Samoa,Q22020,0
American Samoa,Q22021,0
American Samoa,Q32020,0
American Samoa,Q32021,0
American Samoa,Q42020,0
Arizona,Q12020,135571
Arizona,Q12021,94009219
Arizona,Q22020,5815747
Arizona,Q22021,81830031
Arizona,Q32020,19411082
Arizona,Q32021,61739731
Arizona,Q42020,21708965
Arkansas,Q12020,56398
Arkansas,Q12021,37097928
Arkansas,Q22020,1524823
Arkansas,Q22021,32131242
Arkansas,Q32020,6826264
Arkansas,Q32021,27425173
Arkansas,Q42020,9991648
California,Q12020,905156
California,Q12021,417817033
California,Q22020,19054968
California,Q22021,355968995
California,Q32020,69579361
California,Q32021,269417754
California,Q42020,87687677
Colorado,Q12020,282993
Colorado,Q12021,51456172
Colorado,Q22020,2762855
Colorado,Q22021,50513462
Colorado,Q32020,6170770
Colorado,Q32021,37736724
Colorado,Q42020,14110110
Connecticut,Q12020,480792
Connecticut,Q12021,33361571
Connecticut,Q22020,3956525
Connecticut,Q22021,32021252
Connecticut,Q32020,5198058
Connecticut,Q32021,22734549
Connecticut,Q42020,7577773
Delaware,Q12020,69310
Delaware,Q12021,10269278
Delaware,Q22020,951882
Delaware,Q22021,10021907
Delaware,Q32020,1782199
Delaware,Q32021,7365327
Delaware,Q42020,2350626
Diamond Princess,Q12020,2199
Diamond Princess,Q12021,5880
Diamond Princess,Q22020,4508
Diamond Princess,Q22021,4508
Diamond Princess,Q32020,4508
Diamond Princess,Q32021,2989
Diamond Princess,Q42020,2989
District of Columbia,Q12020,73832
District of Columbia,Q12021,4829121
District of Columbia,Q22020,852370
District of Columbia,Q22021,4519964
District of Columbia,Q32020,1352666
District of Columbia,Q32021,3382447
District of Columbia,Q42020,1365570
Florida,Q12020,701949
Florida,Q12021,225065721
Florida,Q22020,13781018
Florida,Q22021,217273597
Florida,Q32020,60857640
Florida,Q32021,195211408
Florida,Q42020,62779791
Georgia,Q12020,486933
Georgia,Q12021,116375737
Georgia,Q22020,7094839
Georgia,Q22021,104070892
Georgia,Q32020,26676837
Georgia,Q32021,84818981
Georgia,Q42020,30310087
Grand Princess,Q12020,3802
Grand Princess,Q12021,12360
Grand Princess,Q22020,9476
Grand Princess,Q22021,9476
Grand Princess,Q32020,9476
Grand Princess,Q32021,6283
