Province_State,Quarter,value
Alabama,Q12020,4054
Alabama,Q12021,1084188
Alabama,Q22020,76571
Alabama,Q22021,1034749
Alabama,Q32020,215365
Alabama,Q32021,760126
Alabama,Q42020,230365
Alaska,Q12020,243
Alaska,Q12021,34624
Alaska,Q22020,1214
Alaska,Q22021,34105
Alaska,Q32020,4304
Alaska,Q32021,27226
Alaska,Q42020,8393
American Samoa,Q12020,0
American Samoa,Q12021,0
American Samoa,Q22020,0
American Samoa,Q22021,0
American Samoa,Q32020,0
American Samoa,Q32021,0
American Samoa,Q42020,0
Arizona,Q12020,5026
Arizona,Q12021,1785239
Arizona,Q22020,137053
Arizona,Q22021,1636168
Arizona,Q32020,479280
Arizona,Q32021,1155098
Arizona,Q42020,426821
Arkansas,Q12020,1032
Arkansas,Q12021,618935
Arkansas,Q22020,19860
Arkansas,Q22021,541507
Arkansas,Q32020,102953
Arkansas,Q32021,422627
Arkansas,Q42020,162010
California,Q12020,30995
California,Q12021,5916823
California,Q22020,485874
California,Q22021,5807360
California,Q32020,1308791
California,Q32021,4040857
California,Q42020,1236157
Colorado,Q12020,12049
Colorado,Q12021,700203
Colorado,Q22020,137849
Colorado,Q22021,613577
Colorado,Q32020,185608
Colorado,Q32021,438583
Colorado,Q42020,203802
Connecticut,Q12020,30027
Connecticut,Q12021,892476
Connecticut,Q22020,362182
Connecticut,Q22021,758191
Connecticut,Q32020,413670
Connecticut,Q32021,511746
Connecticut,Q42020,313984
Delaware,Q12020,2572
Delaware,Q12021,169375
Delaware,Q22020,45913
Delaware,Q22021,154360
Delaware,Q32020,59238
Delaware,Q32021,114743
Delaware,Q42020,52114
Diamond Princess,Q12020,0
Diamond Princess,Q12021,0
Diamond Princess,Q22020,0
Diamond Princess,Q22021,0
Diamond Princess,Q32020,0
Diamond Princess,Q32021,0
Diamond Princess,Q42020,0
District of Columbia,Q12020,2689
District of Columbia,Q12021,118463
District of Columbia,Q22020,44464
District of Columbia,Q22021,104350
District of Columbia,Q32020,56795
District of Columbia,Q32021,70750
District of Columbia,Q42020,42443
Florida,Q12020,19838
Florida,Q12021,3584419
Florida,Q22020,298473
Florida,Q22021,3427139
Florida,Q32020,1160354
Florida,Q32021,2785603
Florida,Q42020,1153667
Georgia,Q12020,18536
Georgia,Q12021,1985643
Georgia,Q22020,222342
Georgia,Q22021,1939570
Georgia,Q32020,571757
Georgia,Q32021,1415186
Georgia,Q42020,584763
Grand Princess,Q12020,80
Grand Princess,Q12021,360
Grand Princess,Q22020,276
Grand Princess,Q22021,276
Grand Princess,Q32020,276
Grand Princess,Q32021,183
Grand Princess,Q42020,183
Guam,Q12020,149
Guam,Q12021,15742
Guam,Q22020,460
Guam,Q22021,12867
Guam,Q32020,3035
Guam,Q32021,9584
Guam,Q42020,6545
Hawaii,Q12020,269
Hawaii,Q12021,50334
Hawaii,Q22020,1731
Hawaii,Q22021,46720
Hawaii,Q32020,10174
Hawaii,Q32021,37765
Hawaii,Q42020,15259
Idaho,Q12020,1076
Idaho,Q12021,219656
Idaho,Q22020,8614
Idaho,Q22021,195214
Idaho,Q32020,37789
Idaho,Q32021,147523
Idaho,Q42020,61014
Illinois,Q12020,32840
Illinois,Q12021,2670822
Illinois,Q22020,543724
Illinois,Q22021,2331939
Illinois,Q32020,797320
Illinois,Q32021,1615503
Illinois,Q42020,827586
Indiana,Q12020,18745
Indiana,Q12021,1458229
Indiana,Q22020,209244
Indiana,Q22021,1262497
Indiana,Q32020,323478
Indiana,Q32021,890152
Indiana,Q42020,408439
Iowa,Q12020,1974
Iowa,Q12021,630568
Iowa,Q22020,54481
Iowa,Q22021,560226
Iowa,Q32020,115347
Iowa,Q32021,384650
Iowa,Q42020,162827
Kansas,Q12020,2300
Kansas,Q12021,526088
Kansas,Q22020,22820
Kansas,Q22021,471023
Kansas,Q32020,55920
Kansas,Q32021,342366
Kansas,Q42020,107055
Kentucky,Q12020,3887
Kentucky,Q12021,570871
Kentucky,Q22020,45896
Kentucky,Q22021,646593
Kentucky,Q32020,98552
Kentucky,Q32021,478005
Kentucky,Q42020,121521
Louisiana,Q12020,33952
Louisiana,Q12021,1128616
Louisiana,Q22020,276172
Louisiana,Q22021,981106
Louisiana,Q32020,474467
Louisiana,Q32021,760313
Louisiana,Q42020,399917
Maine,Q12020,851
Maine,Q12021,78313
Maine,Q22020,8736
Maine,Q22021,77630
Maine,Q32020,12531
Maine,Q32021,57579
Maine,Q42020,13528
Maryland,Q12020,13228
Maryland,Q12021,920173
Maryland,Q22020,251004
Maryland,Q22021,873200
Maryland,Q32020,353446
Maryland,Q32021,613888
Maryland,Q42020,293628
Massachusetts,Q12020,42623
Massachusetts,Q12021,1892668
Massachusetts,Q22020,659283
Massachusetts,Q22021,1647633
Massachusetts,Q32020,852150
Massachusetts,Q32021,1115211
Massachusetts,Q42020,667643
Michigan,Q12020,64126
Michigan,Q12021,1957646
Michigan,Q22020,532788
Michigan,Q22021,1888985
Michigan,Q32020,639933
Michigan,Q32021,1319652
Michigan,Q42020,612497
Minnesota,Q12020,3858
Minnesota,Q12021,785357
Minnesota,Q22020,109805
Minnesota,Q22021,696848
Minnesota,Q32020,184291
Minnesota,Q32021,484379
Minnesota,Q42020,233329
Mississippi,Q12020,4059
Mississippi,Q12021,776217
Mississippi,Q22020,84039
Mississippi,Q22021,677441
Mississippi,Q32020,244499
Mississippi,Q32021,516656
Mississippi,Q42020,239938
Missouri,Q12020,6545
Missouri,Q12021,956887
Missouri,Q22020,84104
Missouri,Q22021,884448
Missouri,Q32020,177815
Missouri,Q32021,671826
Missouri,Q42020,255658
Montana,Q12020,293
Montana,Q12021,160187
Montana,Q22020,2191
Montana,Q22021,151085
Montana,Q32020,14498
Montana,Q32021,110399
Montana,Q42020,41735
Nebraska,Q12020,831
Nebraska,Q12021,244972
Nebraska,Q22020,19647
Nebraska,Q22021,207930
Nebraska,Q32020,41565
Nebraska,Q32021,142340
Nebraska,Q42020,68104
Nevada,Q12020,4043
Nevada,Q12021,565881
Nevada,Q22020,44412
Nevada,Q22021,519290
Nevada,Q32020,130273
Nevada,Q32021,396251
Nevada,Q42020,139866
New Hampshire,Q12020,986
New Hampshire,Q12021,135185
New Hampshire,Q22020,26862
New Hampshire,Q22021,124896
New Hampshire,Q32020,40534
New Hampshire,Q32021,86848
New Hampshire,Q42020,34527
New Jersey,Q12020,131308
New Jersey,Q12021,2753542
New Jersey,Q22020,1278929
New Jersey,Q22021,2417170
New Jersey,Q32020,1476950
New Jersey,Q32021,1642472
New Jersey,Q42020,1056111
New Mexico,Q12020,1433
New Mexico,Q12021,428089
New Mexico,Q22020,38399
New Mexico,Q22021,393267
New Mexico,Q32020,76072
New Mexico,Q32021,277783
New Mexico,Q42020,101003
New York,Q12020,475956
New York,Q12021,5588468
New York,Q22020,2824400
New York,Q22021,4894034
New York,Q32020,3034375
New York,Q32021,3315134
New York,Q42020,2132137
North Carolina,Q12020,5148
North Carolina,Q12021,1274593
North Carolina,Q22020,106012
North Carolina,Q22021,1217264
North Carolina,Q32020,288669
North Carolina,Q32021,896333
North Carolina,Q42020,330985
North Dakota,Q12020,295
North Dakota,Q12021,175349
North Dakota,Q22020,6332
North Dakota,Q22021,142640
North Dakota,Q32020,21178
North Dakota,Q32021,97409
North Dakota,Q42020,58319
Northern Mariana Islands,Q12020,51
Northern Mariana Islands,Q12021,240
Northern Mariana Islands,Q22020,184
Northern Mariana Islands,Q22021,184
Northern Mariana Islands,Q32020,184
Northern Mariana Islands,Q32021,122
Northern Mariana Islands,Q42020,122
Ohio,Q12020,16405
Ohio,Q12021,2172959
Ohio,Q22020,213005
Ohio,Q22021,1874275
Ohio,Q32020,386865
Ohio,Q32021,1301471
Ohio,Q42020,534091
Oklahoma,Q12020,3791
Oklahoma,Q12021,541445
Oklahoma,Q22020,33599
Oklahoma,Q22021,665833
Oklahoma,Q32020,84366
Oklahoma,Q32021,488192
Oklahoma,Q42020,111985
Oregon,Q12020,1935
Oregon,Q12021,258490
Oregon,Q22020,17423
Oregon,Q22021,249242
Oregon,Q32020,46640
Oregon,Q32021,197589
Oregon,Q42020,61769
Pennsylvania,Q12020,30921
Pennsylvania,Q12021,2765879
Pennsylvania,Q22020,537544
Pennsylvania,Q22021,2515577
Pennsylvania,Q32020,729801
Pennsylvania,Q32021,1730882
Pennsylvania,Q42020,690834
Puerto Rico,Q12020,1563
Puerto Rico,Q12021,236799
Puerto Rico,Q22020,13498
Puerto Rico,Q22021,230616
Puerto Rico,Q32020,50263
Puerto Rico,Q32021,174531
Puerto Rico,Q42020,69275
Rhode Island,Q12020,4615
Rhode Island,Q12021,294784
Rhode Island,Q22020,78322
Rhode Island,Q22021,250035
Rhode Island,Q32020,101963
Rhode Island,Q32021,169366
Rhode Island,Q42020,91352
South Carolina,Q12020,3378
South Carolina,Q12021,968523
South Carolina,Q22020,65269
South Carolina,Q22021,897849
South Carolina,Q32020,275933
South Carolina,Q32021,659346
South Carolina,Q42020,274092
South Dakota,Q12020,233
South Dakota,Q12021,219789
South Dakota,Q22020,7031
South Dakota,Q22021,185772
South Dakota,Q32020,20217
South Dakota,Q32021,126710
South Dakota,Q42020,59343
Tennessee,Q12020,3751
Tennessee,Q12021,1282980
Tennessee,Q22020,48660
Tennessee,Q22021,1148768
Tennessee,Q32020,196437
Tennessee,Q32021,831104
Tennessee,Q42020,296832
Texas,Q12020,14733
Texas,Q12021,5074862
Texas,Q22020,261629
Texas,Q22021,4774910
Texas,Q32020,1323104
Texas,Q32021,3530699
Texas,Q42020,1397414
Utah,Q12020,725
Utah,Q12021,224050
Utah,Q22020,14021
Utah,Q22021,214580
Utah,Q32020,40887
Utah,Q32021,162057
