,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
0,Abbeville,LA,0.0,17886.0,4.0,2.0,16666.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
1,Abbeville,SC,0.0,0.0,4.0,2.0,14548.0,-1.0,-1.0,1.0,2.0,1.0,2.0,1.0,-1.0
2,Aberdeen,MS,0.0,0.0,-1.0,2.0,23247.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,3.0,-1.0
3,Aberdeen,SD,24242.5,15984.0,4.5,2.0,16827.5,1.0,1.5,2.0,1.5,1.0,2.0,1.5,2.0
4,Aberdeen,WA,24709.0,16065.0,2.0,1.0,18019.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0
5,Abilene,KS,0.0,17900.0,-1.0,1.0,17864.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0,2.0,2.0
6,Abilene,TX,25246.0,17966.0,2.5,2.0,18273.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,2.5
7,Abingdon,VA,22584.0,15378.0,2.0,2.0,17578.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
8,Abington,PA,23358.0,16528.0,2.0,2.0,16744.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
9,Ackerman,MS,0.0,0.0,-1.0,2.0,24085.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0
10,Ada,MN,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
11,Ada,OK,0.0,15386.0,3.0,1.5,16933.0,1.0,0.5,0.5,1.5,1.0,0.0,2.0,2.0
12,Addison,TX,0.0,0.0,5.0,-1.0,0.0,-1.0,2.0,-1.0,2.0,1.0,1.0,-1.0,-1.0
13,Adel,GA,0.0,0.0,-1.0,2.0,12357.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
14,Adrian,MI,22655.0,16576.0,4.0,2.0,17466.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
15,Afton,WY,0.0,0.0,3.0,2.0,18352.0,-1.0,-1.0,0.0,2.0,1.0,1.0,2.0,-1.0
16,Aguadilla,PR,0.0,13953.0,-1.0,2.0,15867.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,1.0
17,Ahoskie,NC,23530.0,15707.0,2.0,2.0,18075.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
18,Aibonito,PR,22395.0,15398.0,-1.0,2.0,14718.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,2.0
19,Aiea,HI,23902.0,15173.0,5.0,2.0,17242.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
20,Aiken,SC,24550.0,15754.0,2.0,2.0,17701.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0
21,Ainsworth,NE,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
22,Aitkin,MN,0.0,15983.0,4.0,2.0,13325.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0
23,Akron,OH,11815.25,8286.25,1.0,0.75,9156.75,0.25,1.0,0.5,0.25,-0.25,-0.5,0.75,0.5
24,Alabaster,AL,24008.0,17937.0,2.0,2.0,18858.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,3.0
25,Alameda,CA,23169.0,17861.0,2.0,2.0,18121.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0
26,Alamogordo,NM,23187.0,16132.0,3.0,2.0,19435.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0
27,Alamosa,CO,0.0,16339.0,3.0,2.0,18148.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0
28,Albany,GA,24432.0,15012.0,1.0,1.0,17361.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
