,Province_State,city,Quarter,value
0,Alabama,Baldwin,Q1_2020,3084
1,Alabama,Baldwin,Q2_2020,76282
2,Alabama,Baldwin,Q3_2020,469734
3,Alabama,Baldwin,Q4_2020,582052
4,Alabama,Butler,Q1_2020,454
5,Alabama,Butler,Q2_2020,44474
6,Alabama,Butler,Q3_2020,81790
7,Alabama,Butler,Q4_2020,74569
8,Alabama,Calhoun,Q1_2020,1988
9,Alabama,Calhoun,Q2_2020,33879
10,Alabama,Calhoun,Q3_2020,285665
11,Alabama,Calhoun,Q4_2020,420986
12,Alabama,Cherokee,Q1_2020,307
13,Alabama,Cherokee,Q2_2020,7378
14,Alabama,Cherokee,Q3_2020,47545
15,Alabama,Cherokee,Q4_2020,65671
16,Alabama,Chilton,Q1_2020,1135
17,Alabama,Chilton,Q2_2020,20673
18,Alabama,Chilton,Q3_2020,127008
19,Alabama,Chilton,Q4_2020,143714
20,Alabama,Cleburne,Q1_2020,354
21,Alabama,Cleburne,Q2_2020,3076
22,Alabama,Cleburne,Q3_2020,31000
23,Alabama,Cleburne,Q4_2020,48653
24,Alabama,Covington,Q1_2020,638
25,Alabama,Covington,Q2_2020,23856
26,Alabama,Covington,Q3_2020,117449
27,Alabama,Covington,Q4_2020,141714
28,Alabama,Cullman,Q1_2020,1200
29,Alabama,Cullman,Q2_2020,33846
30,Alabama,Cullman,Q3_2020,166108
31,Alabama,Cullman,Q4_2020,294311
32,Alabama,Dallas,Q1_2020,518
33,Alabama,Dallas,Q2_2020,54029
34,Alabama,Dallas,Q3_2020,153998
35,Alabama,Dallas,Q4_2020,141479
36,Alabama,Fayette,Q1_2020,162
37,Alabama,Fayette,Q2_2020,5518
38,Alabama,Fayette,Q3_2020,37972
39,Alabama,Fayette,Q4_2020,60421
40,Alabama,Franklin,Q1_2020,676
41,Alabama,Franklin,Q2_2020,63255
42,Alabama,Franklin,Q3_2020,153943
43,Alabama,Franklin,Q4_2020,161103
44,Alabama,Geneva,Q1_2020,92
45,Alabama,Geneva,Q2_2020,6629
46,Alabama,Geneva,Q3_2020,52207
47,Alabama,Geneva,Q4_2020,78047
48,Alabama,Houston,Q1_2020,1723
49,Alabama,Houston,Q2_2020,39045
50,Alabama,Houston,Q3_2020,243889
51,Alabama,Houston,Q4_2020,338735
52,Alabama,Jackson,Q1_2020,974
53,Alabama,Jackson,Q2_2020,21062
54,Alabama,Jackson,Q3_2020,137761
55,Alabama,Jackson,Q4_2020,218925
56,Alabama,Jefferson,Q1_2020,21219
57,Alabama,Jefferson,Q2_2020,373042
58,Alabama,Jefferson,Q3_2020,1675471
59,Alabama,Jefferson,Q4_2020,2176846
60,Alabama,Lamar,Q1_2020,192
61,Alabama,Lamar,Q2_2020,5608
62,Alabama,Lamar,Q3_2020,31412
63,Alabama,Lamar,Q4_2020,45308
64,Alabama,Lawrence,Q1_2020,337
65,Alabama,Lawrence,Q2_2020,9288
66,Alabama,Lawrence,Q3_2020,54361
67,Alabama,Lawrence,Q4_2020,85070
68,Alabama,Macon,Q1_2020,583
69,Alabama,Macon,Q2_2020,13355
70,Alabama,Macon,Q3_2020,41775
71,Alabama,Macon,Q4_2020,46761
72,Alabama,Madison,Q1_2020,6498
73,Alabama,Madison,Q2_2020,115718
74,Alabama,Madison,Q3_2020,660097
75,Alabama,Madison,Q4_2020,901120
76,Alabama,Marengo,Q1_2020,711
77,Alabama,Marengo,Q2_2020,21650
78,Alabama,Marengo,Q3_2020,66745
79,Alabama,Marengo,Q4_2020,81374
80,Alabama,Marion,Q1_2020,1660
81,Alabama,Marion,Q2_2020,19268
82,Alabama,Marion,Q3_2020,78699
83,Alabama,Marion,Q4_2020,92982
84,Alabama,Marshall,Q1_2020,4407
85,Alabama,Marshall,Q2_2020,116213
86,Alabama,Marshall,Q3_2020,345721
87,Alabama,Marshall,Q4_2020,408990
88,Alabama,Mobile,Q1_2020,16559
89,Alabama,Mobile,Q2_2020,316537
90,Alabama,Mobile,Q3_2020,1187101
91,Alabama,Mobile,Q4_2020,1265066
92,Alabama,Monroe,Q1_2020,264
